case_id,model_a,model_b,winner,reasoning_effort_a,reasoning_effort_b
lean-tactic-discipline-axiom-hygiene,gpt-5.2,gpt-5.5,draw,,
lean-tactic-discipline-axiom-hygiene,gpt-5.4,gpt-5.4-mini,a,,
lean-tactic-discipline-axiom-hygiene,gpt-5.4,gpt-5.4,draw,,long
lean-tactic-discipline-axiom-hygiene,gpt-5.4,gpt-5.5,b,,
lean-tactic-discipline-axiom-hygiene,gpt-5.4-mini,gpt-5.4,b,,long
lean-tactic-discipline-axiom-hygiene,gpt-5.4-mini,gpt-5.5,b,,
lean-tactic-discipline-axiom-hygiene,gpt-5.4,gpt-5.5,b,long,
lean-tactic-discipline-no-decide-search,claude-haiku-4.5,claude-opus-4.7-high,b,,
lean-tactic-discipline-no-decide-search,claude-haiku-4.5,claude-opus-4.7,draw,,default-effort
lean-tactic-discipline-no-decide-search,claude-haiku-4.5,claude-sonnet-4.6,draw,,
lean-tactic-discipline-no-decide-search,claude-haiku-4.5,gpt-5.2,draw,,
lean-tactic-discipline-no-decide-search,claude-haiku-4.5,gpt-5.4,draw,,
lean-tactic-discipline-no-decide-search,claude-haiku-4.5,gpt-5.4-mini,a,,
lean-tactic-discipline-no-decide-search,claude-haiku-4.5,gpt-5.4,draw,,long
lean-tactic-discipline-no-decide-search,claude-haiku-4.5,gpt-5.5,draw,,
lean-tactic-discipline-no-decide-search,claude-opus-4.7-high,claude-opus-4.7,a,,default-effort
lean-tactic-discipline-no-decide-search,claude-opus-4.7-high,claude-sonnet-4.6,a,,
lean-tactic-discipline-no-decide-search,claude-opus-4.7-high,gpt-5.2,a,,
lean-tactic-discipline-no-decide-search,claude-opus-4.7-high,gpt-5.4,a,,
lean-tactic-discipline-no-decide-search,claude-opus-4.7-high,gpt-5.4-mini,a,,
lean-tactic-discipline-no-decide-search,claude-opus-4.7-high,gpt-5.4,a,,long
lean-tactic-discipline-no-decide-search,claude-opus-4.7-high,gpt-5.5,a,,
lean-tactic-discipline-no-decide-search,claude-opus-4.7,claude-sonnet-4.6,a,default-effort,
lean-tactic-discipline-no-decide-search,claude-opus-4.7,gpt-5.2,draw,default-effort,
lean-tactic-discipline-no-decide-search,claude-opus-4.7,gpt-5.4,draw,default-effort,
lean-tactic-discipline-no-decide-search,claude-opus-4.7,gpt-5.4-mini,a,default-effort,
lean-tactic-discipline-no-decide-search,claude-opus-4.7,gpt-5.4,draw,default-effort,long
lean-tactic-discipline-no-decide-search,claude-opus-4.7,gpt-5.5,draw,default-effort,
lean-tactic-discipline-no-decide-search,claude-sonnet-4.6,gpt-5.2,b,,
lean-tactic-discipline-no-decide-search,claude-sonnet-4.6,gpt-5.4,b,,
lean-tactic-discipline-no-decide-search,claude-sonnet-4.6,gpt-5.4-mini,a,,
lean-tactic-discipline-no-decide-search,claude-sonnet-4.6,gpt-5.4,b,,long
lean-tactic-discipline-no-decide-search,claude-sonnet-4.6,gpt-5.5,draw,,
lean-tactic-discipline-no-decide-search,gpt-5.2,gpt-5.4,draw,,
lean-tactic-discipline-no-decide-search,gpt-5.2,gpt-5.4-mini,a,,
lean-tactic-discipline-no-decide-search,gpt-5.2,gpt-5.4,draw,,long
lean-tactic-discipline-no-decide-search,gpt-5.2,gpt-5.5,draw,,
lean-tactic-discipline-no-decide-search,gpt-5.4,gpt-5.4-mini,a,,
lean-tactic-discipline-no-decide-search,gpt-5.4,gpt-5.4,draw,,long
lean-tactic-discipline-no-decide-search,gpt-5.4,gpt-5.5,draw,,
lean-tactic-discipline-no-decide-search,gpt-5.4-mini,gpt-5.4,b,,long
lean-tactic-discipline-no-decide-search,gpt-5.4-mini,gpt-5.5,b,,
lean-tactic-discipline-no-decide-search,gpt-5.4,gpt-5.5,draw,long,
lean-tactic-discipline-no-omega-abuse,claude-haiku-4.5,claude-opus-4.7-high,b,,
lean-tactic-discipline-no-omega-abuse,claude-haiku-4.5,claude-opus-4.7,b,,default-effort
lean-tactic-discipline-no-omega-abuse,claude-haiku-4.5,claude-sonnet-4.6,draw,,
lean-tactic-discipline-no-omega-abuse,claude-haiku-4.5,gpt-5.2,draw,,
lean-tactic-discipline-no-omega-abuse,claude-haiku-4.5,gpt-5.4,draw,,
lean-tactic-discipline-no-omega-abuse,claude-haiku-4.5,gpt-5.4-mini,a,,
lean-tactic-discipline-no-omega-abuse,claude-haiku-4.5,gpt-5.4,draw,,long
lean-tactic-discipline-no-omega-abuse,claude-haiku-4.5,gpt-5.5,a,,
lean-tactic-discipline-no-omega-abuse,claude-opus-4.7-high,claude-opus-4.7,draw,,default-effort
lean-tactic-discipline-no-omega-abuse,claude-opus-4.7-high,claude-sonnet-4.6,a,,
lean-tactic-discipline-no-omega-abuse,claude-opus-4.7-high,gpt-5.2,a,,
lean-tactic-discipline-no-omega-abuse,claude-opus-4.7-high,gpt-5.4,a,,
lean-tactic-discipline-no-omega-abuse,claude-opus-4.7-high,gpt-5.4-mini,a,,
lean-tactic-discipline-no-omega-abuse,claude-opus-4.7-high,gpt-5.4,a,,long
lean-tactic-discipline-no-omega-abuse,claude-opus-4.7-high,gpt-5.5,a,,
lean-tactic-discipline-no-omega-abuse,claude-opus-4.7,claude-sonnet-4.6,a,default-effort,
lean-tactic-discipline-no-omega-abuse,claude-opus-4.7,gpt-5.2,a,default-effort,
lean-tactic-discipline-no-omega-abuse,claude-opus-4.7,gpt-5.4,a,default-effort,
lean-tactic-discipline-no-omega-abuse,claude-opus-4.7,gpt-5.4-mini,a,default-effort,
lean-tactic-discipline-no-omega-abuse,claude-opus-4.7,gpt-5.4,a,default-effort,long
lean-tactic-discipline-no-omega-abuse,claude-opus-4.7,gpt-5.5,a,default-effort,
lean-tactic-discipline-no-omega-abuse,claude-sonnet-4.6,gpt-5.2,draw,,
lean-tactic-discipline-no-omega-abuse,claude-sonnet-4.6,gpt-5.4,draw,,
lean-tactic-discipline-no-omega-abuse,claude-sonnet-4.6,gpt-5.4-mini,a,,
lean-tactic-discipline-no-omega-abuse,claude-sonnet-4.6,gpt-5.4,draw,,long
lean-tactic-discipline-no-omega-abuse,claude-sonnet-4.6,gpt-5.5,a,,
lean-tactic-discipline-no-omega-abuse,gpt-5.2,gpt-5.4,draw,,
lean-tactic-discipline-no-omega-abuse,gpt-5.2,gpt-5.4-mini,a,,
lean-tactic-discipline-no-omega-abuse,gpt-5.2,gpt-5.4,draw,,long
lean-tactic-discipline-no-omega-abuse,gpt-5.2,gpt-5.5,a,,
lean-tactic-discipline-no-omega-abuse,gpt-5.4,gpt-5.4-mini,a,,
lean-tactic-discipline-no-omega-abuse,gpt-5.4,gpt-5.4,draw,,long
lean-tactic-discipline-no-omega-abuse,gpt-5.4,gpt-5.5,a,,
lean-tactic-discipline-no-omega-abuse,gpt-5.4-mini,gpt-5.4,b,,long
lean-tactic-discipline-no-omega-abuse,gpt-5.4-mini,gpt-5.5,b,,
lean-tactic-discipline-no-omega-abuse,gpt-5.4,gpt-5.5,a,long,
lean-setup-import-lakefile-basic,claude-haiku-4.5,claude-opus-4.7-high,b,,
lean-setup-import-lakefile-basic,claude-haiku-4.5,claude-opus-4.7,b,,default-effort
lean-setup-import-lakefile-basic,claude-haiku-4.5,claude-sonnet-4.6,b,,
lean-setup-import-lakefile-basic,claude-haiku-4.5,gpt-5.2,b,,
lean-setup-import-lakefile-basic,claude-haiku-4.5,gpt-5.4,b,,
lean-setup-import-lakefile-basic,claude-haiku-4.5,gpt-5.4-mini,a,,
lean-setup-import-lakefile-basic,claude-haiku-4.5,gpt-5.4,b,,long
lean-setup-import-lakefile-basic,claude-haiku-4.5,gpt-5.5,b,,
lean-setup-import-lakefile-basic,claude-opus-4.7-high,claude-opus-4.7,draw,,default-effort
lean-setup-import-lakefile-basic,claude-opus-4.7-high,claude-sonnet-4.6,a,,
lean-setup-import-lakefile-basic,claude-opus-4.7-high,gpt-5.2,draw,,
lean-setup-import-lakefile-basic,claude-opus-4.7-high,gpt-5.4,a,,
lean-setup-import-lakefile-basic,claude-opus-4.7-high,gpt-5.4-mini,a,,
lean-setup-import-lakefile-basic,claude-opus-4.7-high,gpt-5.4,draw,,long
lean-setup-import-lakefile-basic,claude-opus-4.7-high,gpt-5.5,draw,,
lean-setup-import-lakefile-basic,claude-opus-4.7,claude-sonnet-4.6,a,default-effort,
lean-setup-import-lakefile-basic,claude-opus-4.7,gpt-5.2,a,default-effort,
lean-setup-import-lakefile-basic,claude-opus-4.7,gpt-5.4,a,default-effort,
lean-setup-import-lakefile-basic,claude-opus-4.7,gpt-5.4-mini,a,default-effort,
lean-setup-import-lakefile-basic,claude-opus-4.7,gpt-5.4,a,default-effort,long
lean-setup-import-lakefile-basic,claude-opus-4.7,gpt-5.5,draw,default-effort,
lean-setup-import-lakefile-basic,claude-sonnet-4.6,gpt-5.2,b,,
lean-setup-import-lakefile-basic,claude-sonnet-4.6,gpt-5.4,draw,,
lean-setup-import-lakefile-basic,claude-sonnet-4.6,gpt-5.4-mini,a,,
lean-setup-import-lakefile-basic,claude-sonnet-4.6,gpt-5.4,b,,long
lean-setup-import-lakefile-basic,claude-sonnet-4.6,gpt-5.5,b,,
lean-setup-import-lakefile-basic,gpt-5.2,gpt-5.4,a,,
lean-setup-import-lakefile-basic,gpt-5.2,gpt-5.4-mini,a,,
lean-setup-import-lakefile-basic,gpt-5.2,gpt-5.4,draw,,long
lean-setup-import-lakefile-basic,gpt-5.2,gpt-5.5,b,,
lean-setup-import-lakefile-basic,gpt-5.4,gpt-5.4-mini,a,,
lean-setup-import-lakefile-basic,gpt-5.4,gpt-5.4,b,,long
lean-setup-import-lakefile-basic,gpt-5.4,gpt-5.5,b,,
lean-setup-import-lakefile-basic,gpt-5.4-mini,gpt-5.4,b,,long
lean-setup-import-lakefile-basic,gpt-5.4-mini,gpt-5.5,b,,
lean-setup-import-lakefile-basic,gpt-5.4,gpt-5.5,b,long,
lean-setup-import-subimport,claude-haiku-4.5,claude-opus-4.7-high,a,,
lean-setup-import-subimport,claude-haiku-4.5,claude-opus-4.7,b,,default-effort
lean-setup-import-subimport,claude-haiku-4.5,claude-sonnet-4.6,a,,
lean-setup-import-subimport,claude-haiku-4.5,gpt-5.2,draw,,
lean-setup-import-subimport,claude-haiku-4.5,gpt-5.4,draw,,
lean-setup-import-subimport,claude-haiku-4.5,gpt-5.4-mini,a,,
lean-setup-import-subimport,claude-haiku-4.5,gpt-5.4,draw,,long
lean-setup-import-subimport,claude-haiku-4.5,gpt-5.5,draw,,
lean-setup-import-subimport,claude-opus-4.7-high,claude-opus-4.7,b,,default-effort
lean-setup-import-subimport,claude-opus-4.7-high,claude-sonnet-4.6,a,,
lean-setup-import-subimport,claude-opus-4.7-high,gpt-5.2,b,,
lean-setup-import-subimport,claude-opus-4.7-high,gpt-5.4,b,,
lean-setup-import-subimport,claude-opus-4.7-high,gpt-5.4-mini,draw,,
lean-setup-import-subimport,claude-opus-4.7-high,gpt-5.4,b,,long
lean-setup-import-subimport,claude-opus-4.7-high,gpt-5.5,b,,
lean-setup-import-subimport,claude-opus-4.7,claude-sonnet-4.6,a,default-effort,
lean-setup-import-subimport,claude-opus-4.7,gpt-5.2,draw,default-effort,
lean-setup-import-subimport,claude-opus-4.7,gpt-5.4,draw,default-effort,
lean-setup-import-subimport,claude-opus-4.7,gpt-5.4-mini,a,default-effort,
lean-setup-import-subimport,claude-opus-4.7,gpt-5.4,draw,default-effort,long
lean-setup-import-subimport,claude-opus-4.7,gpt-5.5,a,default-effort,
lean-setup-import-subimport,claude-sonnet-4.6,gpt-5.2,b,,
lean-setup-import-subimport,claude-sonnet-4.6,gpt-5.4,b,,
lean-setup-import-subimport,claude-sonnet-4.6,gpt-5.4-mini,b,,
lean-setup-import-subimport,claude-sonnet-4.6,gpt-5.4,b,,long
lean-setup-import-subimport,claude-sonnet-4.6,gpt-5.5,b,,
lean-setup-import-subimport,gpt-5.2,gpt-5.4,draw,,
lean-setup-import-subimport,gpt-5.2,gpt-5.4-mini,a,,
lean-setup-import-subimport,gpt-5.2,gpt-5.4,draw,,long
lean-setup-import-subimport,gpt-5.2,gpt-5.5,draw,,
lean-setup-import-subimport,gpt-5.4,gpt-5.4-mini,a,,
lean-setup-import-subimport,gpt-5.4,gpt-5.4,draw,,long
lean-setup-import-subimport,gpt-5.4,gpt-5.5,draw,,
lean-setup-import-subimport,gpt-5.4-mini,gpt-5.4,b,,long
lean-setup-import-subimport,gpt-5.4-mini,gpt-5.5,b,,
lean-setup-import-subimport,gpt-5.4,gpt-5.5,draw,long,
lean-setup-import-toolchain-pin,claude-haiku-4.5,claude-opus-4.7-high,draw,,
lean-setup-import-toolchain-pin,claude-haiku-4.5,claude-opus-4.7,b,,default-effort
lean-setup-import-toolchain-pin,claude-haiku-4.5,claude-sonnet-4.6,draw,,
lean-setup-import-toolchain-pin,claude-haiku-4.5,gpt-5.2,a,,
lean-setup-import-toolchain-pin,claude-haiku-4.5,gpt-5.4,draw,,
lean-setup-import-toolchain-pin,claude-haiku-4.5,gpt-5.4-mini,a,,
lean-setup-import-toolchain-pin,claude-haiku-4.5,gpt-5.4,b,,long
lean-setup-import-toolchain-pin,claude-haiku-4.5,gpt-5.5,draw,,
lean-setup-import-toolchain-pin,claude-opus-4.7-high,claude-opus-4.7,draw,,default-effort
lean-setup-import-toolchain-pin,claude-opus-4.7-high,claude-sonnet-4.6,draw,,
lean-setup-import-toolchain-pin,claude-opus-4.7-high,gpt-5.2,a,,
lean-setup-import-toolchain-pin,claude-opus-4.7-high,gpt-5.4,draw,,
lean-setup-import-toolchain-pin,claude-opus-4.7-high,gpt-5.4-mini,a,,
lean-setup-import-toolchain-pin,claude-opus-4.7-high,gpt-5.4,draw,,long
lean-setup-import-toolchain-pin,claude-opus-4.7-high,gpt-5.5,draw,,
lean-setup-import-toolchain-pin,claude-opus-4.7,claude-sonnet-4.6,draw,default-effort,
lean-setup-import-toolchain-pin,claude-opus-4.7,gpt-5.2,a,default-effort,
lean-setup-import-toolchain-pin,claude-opus-4.7,gpt-5.4,draw,default-effort,
lean-setup-import-toolchain-pin,claude-opus-4.7,gpt-5.4-mini,a,default-effort,
lean-setup-import-toolchain-pin,claude-opus-4.7,gpt-5.4,draw,default-effort,long
lean-setup-import-toolchain-pin,claude-opus-4.7,gpt-5.5,a,default-effort,
lean-setup-import-toolchain-pin,claude-sonnet-4.6,gpt-5.2,a,,
lean-setup-import-toolchain-pin,claude-sonnet-4.6,gpt-5.4,draw,,
lean-setup-import-toolchain-pin,claude-sonnet-4.6,gpt-5.4-mini,a,,
lean-setup-import-toolchain-pin,claude-sonnet-4.6,gpt-5.4,draw,,long
lean-setup-import-toolchain-pin,claude-sonnet-4.6,gpt-5.5,draw,,
lean-setup-import-toolchain-pin,gpt-5.2,gpt-5.4,b,,
lean-setup-import-toolchain-pin,gpt-5.2,gpt-5.4-mini,a,,
lean-setup-import-toolchain-pin,gpt-5.2,gpt-5.4,b,,long
lean-setup-import-toolchain-pin,gpt-5.2,gpt-5.5,b,,
lean-setup-import-toolchain-pin,gpt-5.4,gpt-5.4-mini,a,,
lean-setup-import-toolchain-pin,gpt-5.4,gpt-5.4,draw,,long
lean-setup-import-toolchain-pin,gpt-5.4,gpt-5.5,draw,,
lean-setup-import-toolchain-pin,gpt-5.4-mini,gpt-5.4,b,,long
lean-setup-import-toolchain-pin,gpt-5.4-mini,gpt-5.5,b,,
lean-setup-import-toolchain-pin,gpt-5.4,gpt-5.5,a,long,
mathlib-lookup-nat-div-le,claude-haiku-4.5,claude-opus-4.7-high,draw,,
mathlib-lookup-nat-div-le,claude-haiku-4.5,claude-opus-4.7,draw,,default-effort
mathlib-lookup-nat-div-le,claude-haiku-4.5,claude-sonnet-4.6,draw,,
mathlib-lookup-nat-div-le,claude-haiku-4.5,gpt-5.2,draw,,
mathlib-lookup-nat-div-le,claude-haiku-4.5,gpt-5.4,draw,,
mathlib-lookup-nat-div-le,claude-haiku-4.5,gpt-5.4-mini,draw,,
mathlib-lookup-nat-div-le,claude-haiku-4.5,gpt-5.4,draw,,long
mathlib-lookup-nat-div-le,claude-haiku-4.5,gpt-5.5,draw,,
mathlib-lookup-nat-div-le,claude-opus-4.7-high,claude-opus-4.7,draw,,default-effort
mathlib-lookup-nat-div-le,claude-opus-4.7-high,claude-sonnet-4.6,draw,,
mathlib-lookup-nat-div-le,claude-opus-4.7-high,gpt-5.2,draw,,
mathlib-lookup-nat-div-le,claude-opus-4.7-high,gpt-5.4,draw,,
mathlib-lookup-nat-div-le,claude-opus-4.7-high,gpt-5.4-mini,draw,,
mathlib-lookup-nat-div-le,claude-opus-4.7-high,gpt-5.4,draw,,long
mathlib-lookup-nat-div-le,claude-opus-4.7-high,gpt-5.5,draw,,
mathlib-lookup-nat-div-le,claude-opus-4.7,claude-sonnet-4.6,draw,default-effort,
mathlib-lookup-nat-div-le,claude-opus-4.7,gpt-5.2,draw,default-effort,
mathlib-lookup-nat-div-le,claude-opus-4.7,gpt-5.4,draw,default-effort,
mathlib-lookup-nat-div-le,claude-opus-4.7,gpt-5.4-mini,draw,default-effort,
mathlib-lookup-nat-div-le,claude-opus-4.7,gpt-5.4,draw,default-effort,long
mathlib-lookup-nat-div-le,claude-opus-4.7,gpt-5.5,draw,default-effort,
mathlib-lookup-nat-div-le,claude-sonnet-4.6,gpt-5.2,draw,,
mathlib-lookup-nat-div-le,claude-sonnet-4.6,gpt-5.4,draw,,
mathlib-lookup-nat-div-le,claude-sonnet-4.6,gpt-5.4-mini,draw,,
mathlib-lookup-nat-div-le,claude-sonnet-4.6,gpt-5.4,draw,,long
mathlib-lookup-nat-div-le,claude-sonnet-4.6,gpt-5.5,draw,,
mathlib-lookup-nat-div-le,gpt-5.2,gpt-5.4,draw,,
mathlib-lookup-nat-div-le,gpt-5.2,gpt-5.4-mini,draw,,
mathlib-lookup-nat-div-le,gpt-5.2,gpt-5.4,draw,,long
mathlib-lookup-nat-div-le,gpt-5.2,gpt-5.5,draw,,
mathlib-lookup-nat-div-le,gpt-5.4,gpt-5.4-mini,draw,,
mathlib-lookup-nat-div-le,gpt-5.4,gpt-5.4,draw,,long
mathlib-lookup-nat-div-le,gpt-5.4,gpt-5.5,draw,,
mathlib-lookup-nat-div-le,gpt-5.4-mini,gpt-5.4,draw,,long
mathlib-lookup-nat-div-le,gpt-5.4-mini,gpt-5.5,draw,,
mathlib-lookup-nat-div-le,gpt-5.4,gpt-5.5,draw,long,
mathlib-lookup-topology-continuous-comp,claude-haiku-4.5,claude-opus-4.7-high,b,,
mathlib-lookup-topology-continuous-comp,claude-haiku-4.5,claude-opus-4.7,b,,default-effort
mathlib-lookup-topology-continuous-comp,claude-haiku-4.5,claude-sonnet-4.6,b,,
mathlib-lookup-topology-continuous-comp,claude-haiku-4.5,gpt-5.2,b,,
mathlib-lookup-topology-continuous-comp,claude-haiku-4.5,gpt-5.4,draw,,
mathlib-lookup-topology-continuous-comp,claude-haiku-4.5,gpt-5.4-mini,draw,,
mathlib-lookup-topology-continuous-comp,claude-haiku-4.5,gpt-5.4,draw,,long
mathlib-lookup-topology-continuous-comp,claude-haiku-4.5,gpt-5.5,draw,,
mathlib-lookup-topology-continuous-comp,claude-opus-4.7-high,claude-opus-4.7,draw,,default-effort
mathlib-lookup-topology-continuous-comp,claude-opus-4.7-high,claude-sonnet-4.6,draw,,
mathlib-lookup-topology-continuous-comp,claude-opus-4.7-high,gpt-5.2,draw,,
mathlib-lookup-topology-continuous-comp,claude-opus-4.7-high,gpt-5.4,a,,
mathlib-lookup-topology-continuous-comp,claude-opus-4.7-high,gpt-5.4-mini,a,,
mathlib-lookup-topology-continuous-comp,claude-opus-4.7-high,gpt-5.4,a,,long
mathlib-lookup-topology-continuous-comp,claude-opus-4.7-high,gpt-5.5,a,,
mathlib-lookup-topology-continuous-comp,claude-opus-4.7,claude-sonnet-4.6,draw,default-effort,
mathlib-lookup-topology-continuous-comp,claude-opus-4.7,gpt-5.2,draw,default-effort,
mathlib-lookup-topology-continuous-comp,claude-opus-4.7,gpt-5.4,a,default-effort,
mathlib-lookup-topology-continuous-comp,claude-opus-4.7,gpt-5.4-mini,a,default-effort,
mathlib-lookup-topology-continuous-comp,claude-opus-4.7,gpt-5.4,a,default-effort,long
mathlib-lookup-topology-continuous-comp,claude-opus-4.7,gpt-5.5,a,default-effort,
mathlib-lookup-topology-continuous-comp,claude-sonnet-4.6,gpt-5.2,draw,,
mathlib-lookup-topology-continuous-comp,claude-sonnet-4.6,gpt-5.4,a,,
mathlib-lookup-topology-continuous-comp,claude-sonnet-4.6,gpt-5.4-mini,a,,
mathlib-lookup-topology-continuous-comp,claude-sonnet-4.6,gpt-5.4,a,,long
mathlib-lookup-topology-continuous-comp,claude-sonnet-4.6,gpt-5.5,a,,
mathlib-lookup-topology-continuous-comp,gpt-5.2,gpt-5.4,a,,
mathlib-lookup-topology-continuous-comp,gpt-5.2,gpt-5.4-mini,a,,
mathlib-lookup-topology-continuous-comp,gpt-5.2,gpt-5.4,a,,long
mathlib-lookup-topology-continuous-comp,gpt-5.2,gpt-5.5,a,,
mathlib-lookup-topology-continuous-comp,gpt-5.4,gpt-5.4-mini,draw,,
mathlib-lookup-topology-continuous-comp,gpt-5.4,gpt-5.4,draw,,long
mathlib-lookup-topology-continuous-comp,gpt-5.4,gpt-5.5,draw,,
mathlib-lookup-topology-continuous-comp,gpt-5.4-mini,gpt-5.4,draw,,long
mathlib-lookup-topology-continuous-comp,gpt-5.4-mini,gpt-5.5,draw,,
mathlib-lookup-topology-continuous-comp,gpt-5.4,gpt-5.5,draw,long,
